run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
baseline,load-test.js,5,1,18.66299424420222,255.0613908,264.78577,0,259.0218304,0
baseline,load-test.js,5,2,18.624556977040186,252.768117,275.9211055,0,266.1313055,0
baseline,load-test.js,5,3,19.007007193642895,247.2581357,256.53562250000004,0,250.7939173,0
baseline,load-test.js,10,1,22.161054563607642,435.9748,463.1836083499998,0,457.2461509499998,0
baseline,load-test.js,10,2,22.50410151076389,432.88082560000004,453.98713419999996,0,447.7953157,0
baseline,load-test.js,10,3,22.455513279346928,432.9464964,450.4535606,0,444.5058151,0
baseline,load-test.js,25,1,23.331878359481667,1080.8274672,1138.2606316999997,0,1134.6227274999999,0
baseline,load-test.js,25,2,23.32472219237677,1066.3804606,1135.1196686,0,1129.0136800999999,0
baseline,load-test.js,25,3,23.287619297371922,1075.2045412,1131.5502503999999,0,1125.7465922000001,0
baseline,load-test.js,50,1,23.514177522596583,2172.4555155000003,2246.8216558,0,2241.2022849,0
baseline,load-test.js,50,2,23.55150901003701,2145.3770998000005,2231.7737244,0,2228.4816641999996,0
baseline,load-test.js,50,3,23.55035330916248,2150.6368992000002,2235.07257,0,2228.411959,0
