run_name,script,vu,run,req_per_s,p90_ms,p95_ms,p99_ms,ttfb_p95_ms,error_rate
baseline,load-test.js,5,1,17.87019912697796,267.3532603,281.07280380000003,0,275.10708095,0
baseline,load-test.js,5,2,17.843372637167487,265.20892630000003,273.37892279999994,0,267.24433275,0
baseline,load-test.js,5,3,17.02328060673889,296.6073638,323.34431285,0,322.5071188,0
baseline,load-test.js,10,1,20.040936520837324,509.8058672,525.9712367999999,0,520.1451206,0
baseline,load-test.js,10,2,20.41726588031244,490.65988060000006,514.0456853000001,0,508.32262629999997,0
baseline,load-test.js,10,3,20.73378533035511,485.6690754,500.6079378,0,492.9609101,0
baseline,load-test.js,25,1,21.44369091205081,1176.9560774,1232.2362328999998,0,1226.7441357,0
baseline,load-test.js,25,2,20.813870037473524,1285.2380806,1305.6835184,0,1299.3317504,0
baseline,load-test.js,25,3,20.974507314287795,1249.4312455000002,1288.91508955,0,1282.3839193499998,0
baseline,load-test.js,50,1,20.84805772793259,2445.342633,2559.9432575,0,2553.794506,0
baseline,load-test.js,50,2,20.916002586661588,2411.1546106,2549.3568538,0,2543.7623391,0
baseline,load-test.js,50,3,21.079387888047652,2446.9295072,2513.3151829999997,0,2507.7295749999994,0
